Twitter Users,Followers,Twitter_Handle,Rank
Shawn Michaels,2723756,ShawnMichaels,889
Ansel Elgort,2722845,AnselElgort,890
Joko Widodo,2721996,jokowi_do2,891
Great Minds Quotes,2721863,GreatestQuotes,892
Folha de S.Paulo,2721439,folha,893
Metallica,2719473,Metallica,894
ROLA,2718148,RolaWorLD,895
Kemal Kılıçdaroğlu,2713153,kilicdarogluk,896
Gabrielle Union,2712302,itsgabrielleu,897
MARLEY - ALE WIEBE,2710154,marley_ok,898
Steve Harvey Nation,2709231,IAmSteveHarvey,899
Gary Neville,2707976,GNev2,900
Nil Karaibrahimgil,2707800,Niltakipte,901
Mark Hoppus,2707577,markhoppus,902
Oscar Filho,2706306,OscarFilho,903
Михаил Галустян,2705826,M_Galustyan,904
Jason_Aldean,2704167,Jason_Aldean,905
Manuel Neuer,2696842,Manuel_Neuer,906
Google Maps,2694110,googlemaps,907
The Killers,2692833,thekillers,908
Joseph S Blatter,2683930,SeppBlatter,909
Fanny Lu,2679177,Fanny_Lu,910
Macklemore,2669850,macklemore,911
Lewis Hamilton,2669321,LewisHamilton,912
Deddy Mahendra Desta,2666612,desta80s,913
Victorious,2659328,Victorious,914
Pretty Little Liars,2657287,ABCFpll,915
